<proies>
x = 12, y = 45, dir = [1 -1], energie = 5.00
x = 13, y = 12, dir = [0 0], energie = 5.00
x = 3, y = 17, dir = [1 1], energie = 5.00
x = 3, y = 14, dir = [1 0], energie = 5.00
x = 11, y = 25, dir = [1 -1], energie = 5.00
x = 15, y = 9, dir = [-1 1], energie = 5.00
x = 7, y = 36, dir = [1 -1], energie = 5.00
x = 12, y = 30, dir = [1 1], energie = 5.00
x = 14, y = 7, dir = [1 0], energie = 5.00
x = 7, y = 2, dir = [-1 1], energie = 5.00
x = 11, y = 5, dir = [0 -1], energie = 5.00
x = 3, y = 33, dir = [-1 -1], energie = 5.00
x = 5, y = 42, dir = [1 0], energie = 10.00
x = 8, y = 20, dir = [0 0], energie = 10.00
x = 11, y = 39, dir = [0 -1], energie = 10.00
x = 15, y = 5, dir = [-1 1], energie = 10.00
x = 8, y = 33, dir = [-1 0], energie = 10.00
x = 3, y = 33, dir = [-1 -1], energie = 5.00
x = 18, y = 25, dir = [-1 -1], energie = 10.00
x = 0, y = 15, dir = [-1 0], energie = 10.00
x = 11, y = 46, dir = [0 1], energie = 10.00
x = 11, y = 5, dir = [0 -1], energie = 5.00
x = 7, y = 2, dir = [1 0], energie = 5.00
x = 15, y = 36, dir = [1 1], energie = 10.00
x = 17, y = 9, dir = [1 -1], energie = 10.00
x = 5, y = 14, dir = [-1 -1], energie = 10.00
x = 18, y = 3, dir = [-1 1], energie = 10.00
x = 19, y = 4, dir = [0 -1], energie = 10.00
x = 13, y = 14, dir = [0 -1], energie = 10.00
x = 15, y = 38, dir = [0 1], energie = 10.00
x = 14, y = 7, dir = [1 0], energie = 5.00
x = 12, y = 30, dir = [1 0], energie = 5.00
x = 9, y = 24, dir = [0 -1], energie = 10.00
x = 13, y = 5, dir = [0 -1], energie = 10.00
x = 7, y = 19, dir = [-1 1], energie = 10.00
x = 16, y = 3, dir = [-1 0], energie = 10.00
x = 7, y = 36, dir = [0 0], energie = 5.00
x = 8, y = 15, dir = [-1 0], energie = 10.00
x = 1, y = 1, dir = [1 -1], energie = 10.00
x = 11, y = 13, dir = [1 1], energie = 10.00
x = 7, y = 24, dir = [-1 -1], energie = 10.00
x = 15, y = 9, dir = [1 0], energie = 5.00
x = 19, y = 24, dir = [-1 0], energie = 10.00
x = 6, y = 6, dir = [1 1], energie = 10.00
x = 10, y = 35, dir = [1 0], energie = 10.00
x = 13, y = 24, dir = [1 1], energie = 10.00
x = 11, y = 25, dir = [-1 -1], energie = 5.00
x = 3, y = 14, dir = [1 0], energie = 5.00
x = 2, y = 13, dir = [-1 1], energie = 10.00
