<proies>
x = 2, y = 46, dir = [-1 -1], energie = 10.00
x = 15, y = 49, dir = [0 -1], energie = 10.00
x = 18, y = 7, dir = [-1 -1], energie = 10.00
x = 7, y = 4, dir = [-1 -1], energie = 10.00
x = 11, y = 21, dir = [1 0], energie = 10.00
x = 12, y = 12, dir = [1 -1], energie = 10.00
x = 6, y = 37, dir = [-1 0], energie = 10.00
x = 15, y = 7, dir = [0 0], energie = 10.00
x = 16, y = 19, dir = [0 1], energie = 10.00
x = 2, y = 25, dir = [0 1], energie = 10.00
x = 19, y = 34, dir = [1 1], energie = 10.00
x = 9, y = 32, dir = [1 -1], energie = 10.00
x = 14, y = 21, dir = [-1 -1], energie = 10.00
x = 0, y = 47, dir = [1 1], energie = 10.00
x = 16, y = 37, dir = [-1 -1], energie = 10.00
x = 18, y = 38, dir = [-1 -1], energie = 10.00
x = 11, y = 25, dir = [0 0], energie = 10.00
x = 8, y = 32, dir = [1 1], energie = 10.00
x = 17, y = 27, dir = [-1 -1], energie = 10.00
x = 3, y = 46, dir = [0 -1], energie = 10.00
x = 17, y = 2, dir = [0 1], energie = 10.00
x = 18, y = 45, dir = [0 -1], energie = 10.00
x = 0, y = 0, dir = [0 -1], energie = 10.00
x = 14, y = 28, dir = [0 1], energie = 10.00
x = 0, y = 46, dir = [-1 -1], energie = 10.00
x = 9, y = 46, dir = [1 1], energie = 10.00
x = 6, y = 0, dir = [1 -1], energie = 10.00
x = 7, y = 5, dir = [0 0], energie = 10.00
x = 18, y = 27, dir = [1 -1], energie = 10.00
x = 18, y = 46, dir = [0 1], energie = 10.00
x = 2, y = 6, dir = [-1 -1], energie = 10.00
x = 12, y = 35, dir = [0 -1], energie = 10.00
x = 7, y = 41, dir = [1 0], energie = 10.00
x = 15, y = 11, dir = [1 1], energie = 10.00
x = 6, y = 32, dir = [1 0], energie = 10.00
x = 2, y = 13, dir = [1 -1], energie = 10.00
x = 0, y = 37, dir = [-1 0], energie = 10.00
x = 12, y = 14, dir = [0 -1], energie = 10.00
x = 2, y = 43, dir = [-1 1], energie = 10.00
x = 9, y = 12, dir = [1 0], energie = 10.00
x = 8, y = 10, dir = [0 0], energie = 10.00
x = 7, y = 40, dir = [1 0], energie = 10.00
x = 15, y = 32, dir = [-1 -1], energie = 10.00
x = 7, y = 30, dir = [1 1], energie = 10.00
x = 18, y = 32, dir = [1 1], energie = 10.00
x = 13, y = 9, dir = [0 -1], energie = 10.00
x = 8, y = 33, dir = [1 -1], energie = 10.00
x = 18, y = 32, dir = [0 0], energie = 10.00
x = 16, y = 7, dir = [0 -1], energie = 10.00
x = 17, y = 48, dir = [-1 -1], energie = 10.00
</proies>
<predateurs>
x = 13, y = 45, dir = [-1 -1], energie = 10.00
x = 18, y = 48, dir = [-1 0], energie = 10.00
x = 8, y = 29, dir = [-1 0], energie = 10.00
x = 6, y = 12, dir = [0 0], energie = 10.00
x = 11, y = 45, dir = [1 1], energie = 10.00
x = 2, y = 45, dir = [1 1], energie = 10.00
x = 9, y = 40, dir = [1 1], energie = 10.00
x = 9, y = 20, dir = [1 1], energie = 10.00
x = 2, y = 29, dir = [-1 -1], energie = 10.00
x = 16, y = 47, dir = [-1 0], energie = 10.00
x = 18, y = 45, dir = [-1 1], energie = 10.00
x = 12, y = 48, dir = [0 1], energie = 10.00
x = 13, y = 5, dir = [1 1], energie = 10.00
x = 18, y = 31, dir = [-1 1], energie = 10.00
x = 8, y = 14, dir = [-1 0], energie = 10.00
x = 10, y = 42, dir = [-1 -1], energie = 10.00
x = 6, y = 15, dir = [1 0], energie = 10.00
x = 15, y = 39, dir = [1 1], energie = 10.00
x = 1, y = 45, dir = [-1 0], energie = 10.00
x = 15, y = 5, dir = [0 -1], energie = 10.00
x = 5, y = 7, dir = [-1 0], energie = 10.00
x = 14, y = 20, dir = [1 1], energie = 10.00
x = 2, y = 31, dir = [0 -1], energie = 10.00
x = 15, y = 14, dir = [-1 0], energie = 10.00
x = 9, y = 2, dir = [1 0], energie = 10.00
x = 1, y = 38, dir = [-1 -1], energie = 10.00
x = 18, y = 27, dir = [0 0], energie = 10.00
x = 14, y = 8, dir = [-1 -1], energie = 10.00
x = 13, y = 1, dir = [-1 0], energie = 10.00
x = 8, y = 46, dir = [0 -1], energie = 10.00
x = 12, y = 9, dir = [0 1], energie = 10.00
x = 8, y = 21, dir = [1 -1], energie = 10.00
x = 9, y = 33, dir = [1 -1], energie = 10.00
x = 18, y = 7, dir = [1 1], energie = 10.00
x = 6, y = 24, dir = [-1 -1], energie = 10.00
x = 6, y = 28, dir = [0 -1], energie = 10.00
x = 11, y = 14, dir = [0 -1], energie = 10.00
x = 13, y = 29, dir = [1 1], energie = 10.00
x = 15, y = 18, dir = [-1 0], energie = 10.00
x = 11, y = 28, dir = [0 -1], energie = 10.00
x = 13, y = 12, dir = [0 0], energie = 10.00
x = 19, y = 8, dir = [-1 -1], energie = 10.00
x = 10, y = 31, dir = [0 -1], energie = 10.00
x = 18, y = 2, dir = [-1 -1], energie = 10.00
x = 3, y = 22, dir = [0 1], energie = 10.00
x = 15, y = 48, dir = [0 1], energie = 10.00
x = 18, y = 3, dir = [1 -1], energie = 10.00
x = 14, y = 49, dir = [0 0], energie = 10.00
x = 7, y = 17, dir = [1 0], energie = 10.00
x = 9, y = 13, dir = [-1 -1], energie = 10.00
</predateurs>
